date,type,description,amount
2026-06-02,sale,Gaming PC build - custom order,4500
2026-06-05,expense,GPU stock purchase,2200
2026-06-10,sale,Laptop repair service,350
2026-06-15,expense,Shop rent,1500
2026-06-18,sale,Peripheral accessories sale,600
2026-06-22,expense,Electricity bill,280
2026-07-01,sale,Gaming PC build - custom order,4800
2026-07-04,expense,GPU stock purchase,2500
2026-07-09,sale,Software licensing resale,900
2026-07-12,expense,Shop rent,1500
2026-07-20,sale,Laptop repair service,400
2026-07-25,expense,Staff wages,3000
